position,suffix,player_slug,first_name,middle_name,last_name,draft_year,lane_agility_time,shuttle_run,three_quarter_sprint,standing_vertical_leap,max_vertical_leap,max_bench_press_repetitions,body_fat_pct,hand_length,hand_width,height_w_shoes,height_wo_shoes,standing_reach,weight_lbs,wingspan,hand_length_inches,hand_width_inches,height_w_shoes_inches,height_wo_shoes_inches,standing_reach_inches,wingspan_inches,player_name
sg,,brandon__paul__2013,brandon,,paul,2013.0,11.16,2.9,3.37,33.5,39.5,15.0,5.25,8.50,9.50,6' 4'',6' 2.75'',8' 2'',201.0,6' 10.25'',8.5,9.5,76.0,74.75,98.0,82.25,brandon paul
pf-c,,norvel__pelle__2013,norvel,,pelle,2013.0,11.49,3.2,3.32,31.0,34.5,,5.15,8.75,9.50,6' 10.5'',6' 9.5'',9' 1'',207.2,7' 2.5'',8.75,9.5,82.5,81.5,109.0,86.5,norvel pelle
c-pf,,mason__plumlee__2013,mason,,plumlee,2013.0,10.89,2.76,3.29,30.5,36.0,14.0,6.15,9.75,9.50,7' 0.5'',6' 11.25'',9' 0'',238.2,6' 11'',9.75,9.5,84.5,83.25,108.0,83.0,mason plumlee
sf,,otto__porter__2013,otto,,porter,2013.0,11.25,3.06,3.4,27.0,36.0,9.0,6.65,8.75,9.25,6' 8.5'',6' 7.5'',8' 9.5'',197.6,7' 1.5'',8.75,9.25,80.5,79.5,105.5,85.5,otto porter
pg,,phil__pressey__2013,phil,,pressey,2013.0,10.86,3.02,3.13,33.0,38.5,7.0,4.7,7.75,9.75,5' 11.5'',5' 9.5'',7' 8'',177.0,6' 2.25'',7.75,9.75,71.5,69.5,92.0,74.25,phil pressey
sf-sg,,glen__rice__2013,glen,,rice,2013.0,10.99,3.08,3.25,33.0,40.5,10.0,8.45,8.50,9.00,6' 5.75'',6' 4.5'',8' 5.5'',210.8,6' 9.25'',8.5,9.0,77.75,76.5,101.5,81.25,glen rice
pf-sf,,andre__roberson__2013,andre,,roberson,2013.0,11.36,3.02,3.34,30.0,36.5,10.0,7.05,8.75,9.50,6' 7'',6' 6.25'',8' 8.5'',205.8,6' 11'',8.75,9.5,79.0,78.25,104.5,83.0,andre roberson
pg,,dennis__schroder__2013,dennis,,schroder,2013.0,11.09,2.86,3.21,30.0,34.0,1.0,4.1,8.75,10.50,6' 2'',6' 1'',8' 2'',164.8,6' 7.75'',8.75,10.5,74.0,73.0,98.0,79.75,dennis schroder
pg,,peyton__siva__2013,peyton,,siva,2013.0,10.59,2.93,3.16,33.5,41.5,15.0,6.05,8.00,9.75,6' 1'',5' 11.5'',7' 9'',180.6,6' 3'',8.0,9.75,73.0,71.5,93.0,75.0,peyton siva
sf-sg,,tony__snell__2013,tony,,snell,2013.0,11.36,2.84,3.25,30.0,36.5,7.0,4.85,9.00,9.50,6' 7.25'',6' 6'',8' 9.5'',198.2,6' 11.5'',9.0,9.5,79.25,78.0,105.5,83.5,tony snell
sf-pf,,james__southerland__2013,james,,southerland,2013.0,10.9,3.03,3.38,29.0,32.0,5.0,8.05,8.00,9.50,6' 8'',6' 7'',8' 10'',220.6,7' 1'',8.0,9.5,80.0,79.0,106.0,85.0,james southerland
sf,,adonis__thomas__2013,adonis,,thomas,2013.0,11.64,3.11,3.32,34.5,40.5,13.0,7.5,9.25,9.50,6' 5.75'',6' 4.75'',8' 3'',231.8,7' 1'',9.25,9.5,77.75,76.75,99.0,85.0,adonis thomas
sf,,deshaun__thomas__2013,deshaun,,thomas,2013.0,12.94,3.38,3.53,28.5,32.0,5.0,9.1,8.00,8.75,6' 7'',6' 5'',8' 8'',219.8,6' 10'',8.0,8.75,79.0,77.0,104.0,82.0,deshaun thomas
c,,jeff__withey__2013,jeff,,withey,2013.0,12.49,3.29,3.47,26.5,29.0,10.0,8.65,9.00,9.75,7' 0.5'',6' 10.75'',9' 2.5'',221.8,7' 2'',9.0,9.75,84.5,82.75,110.5,86.0,jeff withey
pg,,nate__wolters__2013,nate,,wolters,2013.0,,,,,,8.0,5.5,8.25,8.75,6' 4.75'',6' 3.5'',8' 2'',196.4,6' 3.75'',8.25,8.75,76.75,75.5,98.0,75.75,nate wolters
sg-pg,,bj__young__2013,bj,,young,2013.0,,,,,,,4.7,8.50,9.50,6' 3.5'',6' 2.25'',8' 3'',178.8,6' 8.25'',8.5,9.5,75.5,74.25,99.0,80.25,bj young
c-pf,,cody__zeller__2013,cody,,zeller,2013.0,10.82,2.69,3.15,35.5,37.5,17.0,4.75,8.50,10.50,7' 0.25'',6' 10.75'',8' 10'',230.0,6' 10.75'',8.5,10.5,84.25,82.75,106.0,82.75,cody zeller
pf,,quincy__acy__2012,quincy,,acy,2012.0,10.48,,3.28,32.0,37.0,13.0,7.1,9.50,11.00,6' 7.75'',6' 6.5'',8' 10.5'',223.8,7' 2.75'',9.5,11.0,79.75,78.5,106.5,86.75,quincy acy
sf-sg,,harrison__barnes__2012,harrison,,barnes,2012.0,10.93,,3.16,38.0,39.5,15.0,9.6,9.00,8.50,6' 8'',6' 7'',8' 5.5'',227.8,6' 11.25'',9.0,8.5,80.0,79.0,101.5,83.25,harrison barnes
sg-sf,,will__barton__2012,will,,barton,2012.0,12.5,,3.6,30.0,34.0,,4.1,9.00,9.50,6' 6'',6' 5'',8' 6.5'',174.4,6' 9.75'',9.0,9.5,78.0,77.0,102.5,81.75,will barton
sg,,bradley__beal__2012,bradley,,beal,2012.0,10.95,,3.28,33.0,39.0,8.0,6.0,8.50,9.00,6' 4.75'',6' 3.25'',8' 4'',201.8,6' 8'',8.5,9.0,76.75,75.25,100.0,80.0,bradley beal
pg,,j'covan__brown__2012,j'covan,,brown,2012.0,11.68,,3.47,26.0,29.5,3.0,12.5,7.75,8.25,6' 2.25'',6' 1'',8' 0'',202.4,6' 5.25'',7.75,8.25,74.25,73.0,96.0,77.25,j'covan brown
sg-sf,,william__buford__2012,william,,buford,2012.0,11.4,,3.43,27.5,32.5,8.0,11.3,8.75,10.00,6' 5'',6' 4'',8' 6'',214.6,6' 9.5'',8.75,10.0,77.0,76.0,102.0,81.5,william buford
sf,,jae__crowder__2012,jae,,crowder,2012.0,11.45,,3.37,31.0,34.5,20.0,9.0,9.50,10.50,6' 6.5'',6' 4.75'',8' 3.5'',241.2,6' 9.25'',9.5,10.5,78.5,76.75,99.5,81.25,jae crowder
sg-pg,,jared__cunningham__2012,jared,,cunningham,2012.0,,,,,,4.0,3.6,8.25,9.00,6' 5'',6' 3.5'',8' 2'',187.6,6' 6.5'',8.25,9.0,77.0,75.5,98.0,78.5,jared cunningham
pf-c,,anthony__davis__2012,anthony,,davis,2012.0,,,,,,,7.9,9.00,8.50,6' 10.5'',6' 9.25'',9' 0'',221.8,7' 5.5'',9.0,8.5,82.5,81.25,108.0,89.5,anthony davis
sg,,marcus__denmon__2012,marcus,,denmon,2012.0,10.82,,3.19,33.5,40.0,8.0,6.6,8.25,9.75,6' 3.25'',6' 2.25'',7' 10.5'',188.2,6' 5'',8.25,9.75,75.25,74.25,94.5,77.0,marcus denmon
c,,andre__drummond__2012,andre,,drummond,2012.0,10.83,,3.39,31.5,33.5,10.0,7.5,9.50,9.50,6' 11.75'',6' 9.75'',9' 1.5'',278.6,7' 6.25'',9.5,9.5,83.75,81.75,109.5,90.25,andre drummond
sg,,kim__english__2012,kim,,english,2012.0,10.59,,3.33,29.0,36.5,,4.3,8.50,8.75,6' 5.75'',6' 4.5'',8' 2'',192.0,6' 6.5'',8.5,8.75,77.75,76.5,98.0,78.5,kim english
c-pf,,festus__ezeli__2012,festus,,ezeli,2012.0,12.35,,3.29,34.0,33.5,18.0,5.5,9.00,10.75,6' 11.5'',6' 9.75'',9' 0'',264.2,7' 5.75'',9.0,10.75,83.5,81.75,108.0,89.75,festus ezeli
pf,,drew__gordon__2012,drew,,gordon,2012.0,11.35,,3.49,29.0,34.0,10.0,9.1,8.50,9.75,6' 8.75'',6' 8'',8' 7.5'',239.0,6' 11.5'',8.5,9.75,80.75,80.0,103.5,83.5,drew gordon
pf,,jamychal__green__2012,jamychal,,green,2012.0,10.63,,3.38,29.5,32.5,19.0,9.8,9.25,9.25,6' 9'',6' 8'',8' 10.5'',217.4,7' 2.25'',9.25,9.25,81.0,80.0,106.5,86.25,jamychal green
pf-sf,,draymond__green__2012,draymond,,green,2012.0,11.01,,3.4,28.0,33.0,9.0,11.3,9.00,9.50,6' 7.5'',6' 5.75'',8' 9'',235.6,7' 1.25'',9.0,9.5,79.5,77.75,105.0,85.25,draymond green
sf,,maurice__harkless__2012,maurice,,harkless,2012.0,10.87,,3.25,32.5,37.0,5.0,5.3,9.25,10.25,6' 8.75'',6' 7.25'',8' 6.5'',206.6,7' 0'',9.25,10.25,80.75,79.25,102.5,84.0,maurice harkless
pf,,john__henson__2012,john,,henson,2012.0,,,,25.5,30.0,5.0,8.6,9.25,10.00,6' 10.5'',6' 9'',9' 4'',216.0,7' 5'',9.25,10.0,82.5,81.0,112.0,89.0,john henson
pg,,tu__holloway__2012,tu,,holloway,2012.0,11.0,,3.42,28.0,35.0,12.0,8.5,8.75,10.00,5' 11.75'',5' 10.5'',7' 10.5'',186.8,6' 5.5'',8.75,10.0,71.75,70.5,94.5,77.5,tu holloway
sf,,robbie__hummel__2012,robbie,,hummel,2012.0,11.56,,3.41,27.5,30.0,13.0,9.4,8.50,9.50,6' 8.5'',6' 7.25'',8' 6'',218.0,6' 8.5'',8.5,9.5,80.5,79.25,102.0,80.5,robbie hummel
pf,,bernard__james__2012,bernard,,james,2012.0,11.84,,3.4,30.0,32.5,6.0,5.0,9.00,9.25,6' 10'',6' 8.75'',9' 0.5'',229.8,7' 3'',9.0,9.25,82.0,80.75,108.5,87.0,bernard james
sg,,john__jenkins__2012,john,,jenkins,2012.0,11.36,,3.37,30.5,36.5,10.0,7.1,9.00,9.00,6' 4.25'',6' 3.25'',8' 2'',212.0,6' 8.5'',9.0,9.0,76.25,75.25,98.0,80.5,john jenkins
sg,,orlando__johnson__2012,orlando,,johnson,2012.0,10.98,,3.25,32.0,39.5,13.0,7.0,9.00,9.50,6' 5.25'',6' 3.75'',8' 3'',223.8,6' 11.25'',9.0,9.5,77.25,75.75,99.0,83.25,orlando johnson
sg,,darius__johnson-odom__2012,darius,,johnson-odom,2012.0,10.76,,3.21,33.5,41.5,17.0,7.0,8.75,8.75,6' 3'',6' 1.5'',8' 0'',212.0,6' 7'',8.75,8.75,75.0,73.5,96.0,79.0,darius johnson-odom
pf-sf,,terrence__jones__2012,terrence,,jones,2012.0,11.57,,3.4,29.5,34.5,12.0,7.7,9.00,10.00,6' 9.5'',6' 8.25'',8' 11'',252.0,7' 2.25'',9.0,10.0,81.5,80.25,107.0,86.25,terrence jones
pf,,kevin__jones__2012,kevin,,jones,2012.0,11.94,,3.6,27.5,32.5,17.0,11.2,9.00,7.75,6' 7.5'',6' 6.25'',8' 9'',251.2,7' 1.5'',9.0,7.75,79.5,78.25,105.0,85.5,kevin jones
pf-sf,,perry__jones__2012,perry,,jones,2012.0,11.31,,3.19,33.0,38.5,11.0,4.6,9.25,9.50,6' 11.25'',6' 10.25'',8' 11'',233.8,7' 1.75'',9.25,9.5,83.25,82.25,107.0,85.75,perry jones
sg,,kris__joseph__2012,kris,,joseph,2012.0,,,3.46,28.5,35.0,6.0,8.6,9.00,9.00,6' 7'',6' 6'',8' 8'',215.0,6' 11'',9.0,9.0,79.0,78.0,104.0,83.0,kris joseph
sf,,michael__kidd-gilchrist__2012,michael,,kidd-gilchrist,2012.0,11.77,,3.18,32.0,35.5,6.0,7.0,9.00,10.25,6' 7.5'',6' 5.75'',8' 8.5'',232.8,7' 0'',9.0,10.25,79.5,77.75,104.5,84.0,michael kidd-gilchrist
sg-pg,,doron__lamb__2012,doron,,lamb,2012.0,11.12,,3.41,29.0,33.5,2.0,6.7,8.50,8.75,6' 4.75'',6' 3.25'',8' 2.5'',199.4,6' 6.75'',8.5,8.75,76.75,75.25,98.5,78.75,doron lamb
sg,,jeremy__lamb__2012,jeremy,,lamb,2012.0,10.98,,3.25,31.5,38.0,5.0,4.5,8.75,9.25,6' 5.25'',6' 4'',8' 6'',179.2,6' 11'',8.75,9.25,77.25,76.0,102.0,83.0,jeremy lamb
c,,meyers__leonard__2012,meyers,,leonard,2012.0,11.34,,3.41,30.0,32.5,19.0,5.7,9.25,11.00,7' 1.25'',6' 11.75'',9' 0'',249.8,7' 3'',9.25,11.0,85.25,83.75,108.0,87.0,meyers leonard
pg,,damian__lillard__2012,damian,,lillard,2012.0,11.15,,3.34,34.5,39.5,13.0,5.9,8.75,9.75,6' 2.75'',6' 1.75'',7' 11.5'',188.8,6' 7.75'',8.75,9.75,74.75,73.75,95.5,79.75,damian lillard
pg,,scott__machado__2012,scott,,machado,2012.0,11.26,,3.3,27.0,32.5,17.0,5.8,8.50,9.50,6' 2'',6' 1'',7' 10.5'',205.8,6' 4'',8.5,9.5,74.0,73.0,94.5,76.0,scott machado
pg,,kendall__marshall__2012,kendall,,marshall,2012.0,12.03,,3.23,31.0,37.0,,7.8,8.50,9.00,6' 4.25'',6' 3.25'',8' 0'',198.4,6' 5.5'',8.5,9.0,76.25,75.25,96.0,77.5,kendall marshall
c,,fab__melo__2012,fab,,melo,2012.0,12.14,,3.44,29.5,31.0,9.0,9.2,9.00,10.00,7' 0'',6' 10.75'',9' 2'',255.0,7' 2.5'',9.0,10.0,84.0,82.75,110.0,86.5,fab melo
sf,,khris__middleton__2012,khris,,middleton,2012.0,11.45,,3.47,28.0,31.0,4.0,7.8,9.00,9.00,6' 8.25'',6' 6.75'',8' 7'',216.2,6' 10.75'',9.0,9.0,80.25,78.75,103.0,82.75,khris middleton
sf-sg,,darius__miller__2012,darius,,miller,2012.0,11.34,,3.31,33.0,37.0,14.0,7.5,8.50,8.75,6' 7.5'',6' 6'',8' 5'',233.4,6' 9'',8.5,8.75,79.5,78.0,101.0,81.0,darius miller
sf,,quincy__miller__2012,quincy,,miller,2012.0,11.05,,3.48,30.5,36.0,8.0,7.8,9.25,10.25,6' 10'',6' 8.75'',8' 9'',218.7,7' 1.25'',9.25,10.25,82.0,80.75,105.0,85.25,quincy miller
sg,,tony__mitchell__2012,tony,,mitchell,2012.0,11.72,,3.47,31.5,40.0,14.0,5.7,8.50,10.00,6' 6.25'',6' 5.25'',8' 4'',216.4,6' 10'',8.5,10.0,78.25,77.25,100.0,82.0,tony mitchell
pf,,arnett__moultrie__2012,arnett,,moultrie,2012.0,11.32,,3.22,33.5,37.5,10.0,7.7,9.25,9.25,6' 10.75'',6' 9.5'',8' 10.5'',232.8,7' 2.25'',9.25,9.25,82.75,81.5,106.5,86.25,arnett moultrie
sg,,kevin__murphy__2012,kevin,,murphy,2012.0,10.97,,3.42,31.0,36.5,11.0,5.8,8.50,8.50,6' 6.25'',6' 5'',8' 3'',194.0,6' 6.75'',8.5,8.5,78.25,77.0,99.0,78.75,kevin murphy
pf,,andrew__nicholson__2012,andrew,,nicholson,2012.0,11.89,,3.67,28.5,30.5,10.0,7.6,10.00,10.75,6' 9.5'',6' 8.5'',8' 11'',234.0,7' 4'',10.0,10.75,81.5,80.5,107.0,88.0,andrew nicholson
pf,,kyle__o'quinn__2012,kyle,,o'quinn,2012.0,11.65,,3.53,31.5,31.5,,8.0,9.50,10.00,6' 10'',6' 8.5'',8' 10.5'',240.8,7' 4.75'',9.5,10.0,82.0,80.5,106.5,88.75,kyle o'quinn
pf-c,,miles__plumlee__2012,miles,,plumlee,2012.0,10.64,,3.36,34.0,40.5,15.0,11.4,9.25,9.00,6' 11.75'',6' 10.5'',8' 9.5'',252.4,7' 0.75'',9.25,9.0,83.75,82.5,105.5,84.75,miles plumlee
sg-pg,,austin__rivers__2012,austin,,rivers,2012.0,11.54,,3.32,32.5,37.5,1.0,6.2,8.50,10.00,6' 5'',6' 3.5'',8' 0.5'',202.8,6' 7.25'',8.5,10.0,77.0,75.5,96.5,79.25,austin rivers
pf,,thomas__robinson__2012,thomas,,robinson,2012.0,11.96,,3.17,28.5,35.5,15.0,5.0,9.75,10.50,6' 8.75'',6' 7.75'',8' 10'',244.2,7' 3.25'',9.75,10.5,80.75,79.75,106.0,87.25,thomas robinson
sg-sf,,terrence__ross__2012,terrence,,ross,2012.0,11.78,,3.28,31.0,37.5,2.0,3.2,8.75,10.25,6' 7'',6' 6'',8' 4.5'',196.6,6' 7.25'',8.75,10.25,79.0,78.0,100.5,79.25,terrence ross
pg-sg,,tomas__satoransky__2012,tomas,,satoransky,2012.0,,,,,,,5.2,8.50,9.50,6' 7.5'',6' 6.5'',8' 4'',200.6,6' 7.25'',8.5,9.5,79.5,78.5,100.0,79.25,tomas satoransky
pf,,mike__scott__2012,mike,,scott,2012.0,11.59,,3.44,27.0,32.5,14.0,10.6,8.50,9.00,6' 8.75'',6' 7.25'',8' 8'',240.8,6' 10.75'',8.5,9.0,80.75,79.25,104.0,82.75,mike scott
c-pf,,henry__sims__2012,henry,,sims,2012.0,12.33,,3.44,26.5,29.5,7.0,7.7,9.25,10.00,6' 11.75'',6' 10'',9' 0'',241.2,7' 4'',9.25,10.0,83.75,82.0,108.0,88.0,henry sims
pf,,jared__sullinger__2012,jared,,sullinger,2012.0,12.77,,3.81,29.5,31.0,9.0,10.7,9.25,9.75,6' 9'',6' 7.75'',8' 9.5'',268.2,7' 1.25'',9.25,9.75,81.0,79.75,105.5,85.25,jared sullinger
pg,,tyshawn__taylor__2012,tyshawn,,taylor,2012.0,11.48,,3.2,32.0,36.5,,4.2,8.75,8.75,6' 4'',6' 2.75'',8' 1.5'',177.0,6' 6.25'',8.75,8.75,76.0,74.75,97.5,78.25,tyshawn taylor
pg,,jordan__taylor__2012,jordan,,taylor,2012.0,10.57,,3.19,33.0,36.5,14.0,5.5,8.25,9.50,6' 2'',6' 1'',7' 8.5'',192.8,6' 3'',8.25,9.5,74.0,73.0,92.5,75.0,jordan taylor
sf-sg,,jeff__taylor__2012,jeff,,taylor,2012.0,10.87,,3.29,33.5,40.0,15.0,4.2,8.25,9.75,6' 7.25'',6' 6'',8' 5.5'',212.8,6' 6.25'',8.25,9.75,79.25,78.0,101.5,78.25,jeff taylor
pg,,marquis__teague__2012,marquis,,teague,2012.0,10.65,,3.19,32.5,40.5,8.0,6.3,8.25,7.75,6' 2'',6' 1'',8' 0.5'',179.8,6' 7.25'',8.25,7.75,74.0,73.0,96.5,79.25,marquis teague
sf,,hollis__thompson__2012,hollis,,thompson,2012.0,11.72,,3.38,28.5,36.5,6.0,6.0,8.25,9.75,6' 8'',6' 6.75'',8' 6.5'',206.0,6' 9.5'',8.25,9.75,80.0,78.75,102.5,81.5,hollis thompson
sg,,dion__waiters__2012,dion,,waiters,2012.0,,,,,,,8.5,8.50,9.50,6' 4'',6' 2.5'',8' 2'',221.0,6' 7.25'',8.5,9.5,76.0,74.5,98.0,79.25,dion waiters
pf,,royce__white__2012,royce,,white,2012.0,,,,,,,10.6,9.50,11.50,6' 8'',6' 7'',8' 8.5'',260.6,7' 0'',9.5,11.5,80.0,79.0,104.5,84.0,royce white
pg,,tony__wroten__2012,tony,,wroten,2012.0,10.75,,3.24,30.0,35.5,,5.2,8.00,9.00,6' 6'',6' 4.75'',8' 5'',203.2,6' 9'',8.0,9.0,78.0,76.75,101.0,81.0,tony wroten
pf-c,,tyler__zeller__2012,tyler,,zeller,2012.0,11.13,,3.4,30.0,34.0,16.0,6.4,9.00,9.75,7' 0.5'',6' 11.25'',8' 8.5'',247.4,7' 0'',9.0,9.75,84.5,83.25,104.5,84.0,tyler zeller
c-pf,,keith__benson__2011,keith,,benson,2011.0,11.88,,3.35,31.5,36.0,12.0,6.1,9.50,11.00,6' 11'',6' 10'',9' 1.5'',217.0,7' 3.75'',9.5,11.0,83.0,82.0,109.5,87.75,keith benson
sg,,marshon__brooks__2011,marshon,,brooks,2011.0,10.74,,3.09,34.0,38.5,5.0,5.2,9.00,10.50,6' 5.25'',6' 4.25'',8' 5'',194.6,7' 1'',9.0,10.5,77.25,76.25,101.0,85.0,marshon brooks
sg,,alec__burks__2011,alec,,burks,2011.0,10.96,,3.17,29.0,36.0,5.0,5.1,9.00,8.25,6' 6'',6' 5'',8' 7.5'',192.6,6' 10'',9.0,8.25,78.0,77.0,103.5,82.0,alec burks
sf,,jimmy__butler__2011,jimmy,,butler,2011.0,11.12,,3.15,32.0,39.0,14.0,5.4,9.00,9.00,6' 7.75'',6' 6'',8' 5.5'',222.2,6' 7.5'',9.0,9.0,79.75,78.0,101.5,79.5,jimmy butler
pg,,norris__cole__2011,norris,,cole,2011.0,10.07,,3.22,29.5,38.5,11.0,4.7,8.50,9.50,6' 1.75'',6' 0.25'',7' 11.5'',174.4,6' 2.25'',8.5,9.5,73.75,72.25,95.5,74.25,norris cole
sg,,jon__diebler__2011,jon,,diebler,2011.0,10.94,,3.37,28.0,35.0,2.0,8.5,8.25,8.25,6' 6.5'',6' 5.25'',8' 3'',196.6,6' 6'',8.25,8.25,78.5,77.25,99.0,78.0,jon diebler
pf-c,,michael__dunigan__2011,michael,,dunigan,2011.0,11.85,,3.27,29.5,34.5,10.0,8.0,9.00,10.75,6' 10'',6' 8.5'',8' 11.5'',237.6,7' 3.25'',9.0,10.75,82.0,80.5,107.5,87.25,michael dunigan
sg,,lacedarius__dunn__2011,lacedarius,,dunn,2011.0,11.45,,3.27,26.5,31.0,3.0,5.5,9.00,10.25,6' 4'',6' 3'',8' 5'',187.8,6' 6.25'',9.0,10.25,76.0,75.0,101.0,78.25,lacedarius dunn
pf,,kenneth__faried__2011,kenneth,,faried,2011.0,11.35,,3.26,30.5,35.0,16.0,6.3,8.50,10.25,6' 7.5'',6' 6'',9' 0'',224.6,7' 0'',8.5,10.25,79.5,78.0,108.0,84.0,kenneth faried
pg,,james__fredette__2011,james,,fredette,2011.0,10.42,,3.21,28.0,33.0,14.0,7.7,8.00,8.50,6' 2.5'',6' 0.75'',8' 0.5'',196.0,6' 4.5'',8.0,8.5,74.5,72.75,96.5,76.5,james fredette
pg,,andrew__goudelock__2011,andrew,,goudelock,2011.0,10.33,,3.1,32.5,37.0,4.0,9.9,8.25,9.25,6' 2.75'',6' 1.25'',8' 0.5'',197.6,6' 4.25'',8.25,9.25,74.75,73.25,96.5,76.25,andrew goudelock
sf,,jordan__hamilton__2011,jordan,,hamilton,2011.0,11.47,,3.3,25.0,32.0,7.0,9.8,9.00,9.25,6' 8.5'',6' 6.75'',8' 8'',228.4,6' 9.5'',9.0,9.25,80.5,78.75,104.0,81.5,jordan hamilton
pf-sf,,justin__harper__2011,justin,,harper,2011.0,11.92,,3.3,28.5,33.0,19.0,4.0,9.00,9.25,6' 8.75'',6' 8'',8' 10'',228.0,6' 11.75'',9.0,9.25,80.75,80.0,106.0,83.75,justin harper
sf-pf,,tobias__harris__2011,tobias,,harris,2011.0,10.96,,3.17,31.5,37.5,12.0,8.4,8.75,9.00,6' 7.75'',6' 6.5'',8' 7.5'',222.8,6' 11'',8.75,9.0,79.75,78.5,103.5,83.0,tobias harris
sf,,tyler__honeycutt__2011,tyler,,honeycutt,2011.0,11.68,,3.07,30.0,37.0,,5.3,8.50,9.50,6' 8.25'',6' 6.75'',8' 9'',186.8,6' 9'',8.5,9.5,80.25,78.75,105.0,81.0,tyler honeycutt
sg,,scotty__hopson__2011,scotty,,hopson,2011.0,10.47,,3.18,32.5,36.0,10.0,4.8,8.50,10.00,6' 6.5'',6' 5.75'',8' 7.5'',204.6,6' 10.5'',8.5,10.0,78.5,77.75,103.5,82.5,scotty hopson
pg,,kyrie__irving__2011,kyrie,,irving,2011.0,,,,,,,10.2,8.25,9.25,6' 3.5'',6' 1.75'',8' 3'',191.0,6' 4'',8.25,9.25,75.5,73.75,99.0,76.0,kyrie irving
pf,,rick__jackson__2011,rick,,jackson,2011.0,11.51,,3.26,28.5,33.0,9.0,8.3,8.75,9.50,6' 9.25'',6' 8.25'',8' 10.5'',241.8,7' 2'',8.75,9.5,81.25,80.25,106.5,86.0,rick jackson
pg-sg,,charles__jenkins__2011,charles,,jenkins,2011.0,11.68,,3.18,29.5,34.0,16.0,4.3,8.50,9.00,6' 3.25'',6' 1.5'',8' 0.5'',216.4,6' 7.5'',8.5,9.0,75.25,73.5,96.5,79.5,charles jenkins
pf,,jajuan__johnson__2011,jajuan,,johnson,2011.0,11.21,,3.14,33.5,38.0,15.0,7.5,9.00,10.00,6' 10'',6' 9'',8' 11.5'',219.8,7' 2'',9.0,10.0,82.0,81.0,107.5,86.0,jajuan johnson
pg,,cory__joseph__2011,cory,,joseph,2011.0,10.75,,3.27,27.5,35.0,5.0,9.7,8.50,10.50,6' 3.25'',6' 2'',8' 3'',186.2,6' 5.5'',8.5,10.5,75.25,74.0,99.0,77.5,cory joseph
pf-c,,enes__kanter__2011,enes,,kanter,2011.0,11.3,,3.26,26.0,32.5,14.0,5.9,9.50,10.75,6' 11.25'',6' 9.75'',9' 1.5'',259.2,7' 1.5'',9.5,10.75,83.25,81.75,109.5,85.5,enes kanter
pg,,brandon__knight__2011,brandon,,knight,2011.0,10.74,,3.07,29.0,37.5,10.0,4.2,8.25,9.50,6' 3.25'',6' 1.5'',8' 2.5'',176.8,6' 6.75'',8.25,9.5,75.25,73.5,98.5,78.75,brandon knight
sg,,malcolm__lee__2011,malcolm,,lee,2011.0,11.2,,3.09,30.0,35.5,17.0,5.9,8.50,9.50,6' 5.5'',6' 4'',8' 5.5'',198.2,6' 9.75'',8.5,9.5,77.5,76.0,101.5,81.75,malcolm lee
sf,,kawhi__leonard__2011,kawhi,,leonard,2011.0,11.45,,3.15,25.5,32.0,3.0,5.4,9.75,11.25,6' 7'',6' 6'',8' 10'',227.4,7' 3'',9.75,11.25,79.0,78.0,106.0,87.0,kawhi leonard
sg,,travis__leslie__2011,travis,,leslie,2011.0,11.0,,3.13,33.0,40.5,10.0,8.1,8.75,9.25,6' 4.25'',6' 3'',8' 7'',205.0,6' 10.5'',8.75,9.25,76.25,75.0,103.0,82.5,travis leslie
pf,,jon__leuer__2011,jon,,leuer,2011.0,10.82,,3.36,29.5,36.5,14.0,5.4,8.75,9.75,6' 11.5'',6' 10'',8' 9.5'',223.2,7' 0'',8.75,9.75,83.5,82.0,105.5,84.0,jon leuer
sf-sg,,deandre__liggins__2011,deandre,,liggins,2011.0,,,3.33,27.0,31.0,6.0,5.0,8.75,10.00,6' 6.25'',6' 5'',8' 7.5'',202.2,6' 11'',8.75,10.0,78.25,77.0,103.5,83.0,deandre liggins
sg,,david__lighty__2011,david,,lighty,2011.0,10.81,,3.25,28.5,33.0,15.0,6.5,9.00,10.00,6' 6.5'',6' 4.75'',8' 5'',216.2,6' 8'',9.0,10.0,78.5,76.75,101.0,80.0,david lighty
pg,,shelvin__mack__2011,shelvin,,mack,2011.0,11.23,,3.18,32.0,39.0,17.0,7.1,8.25,9.25,6' 2.5'',6' 1'',8' 0.5'',209.0,6' 7.5'',8.25,9.25,74.5,73.0,96.5,79.5,shelvin mack
pg,,demetri__mccamey__2011,demetri,,mccamey,2011.0,11.55,,3.19,27.0,33.0,,6.1,8.50,9.00,6' 3.25'',6' 1.75'',8' 3.5'',204.0,6' 6.25'',8.5,9.0,75.25,73.75,99.5,78.25,demetri mccamey
sg,,e'twaun__moore__2011,e'twaun,,moore,2011.0,11.12,,3.31,32.0,34.5,,7.6,9.00,10.00,6' 4'',6' 2.5'',8' 3.5'',191.4,6' 9.5'',9.0,10.0,76.0,74.5,99.5,81.5,e'twaun moore
pf-sf,,marcus__morris__2011,marcus,,morris,2011.0,,,3.15,29.0,33.0,11.0,8.0,8.25,8.50,6' 8.75'',6' 7'',8' 9.5'',229.6,6' 10'',8.25,8.5,80.75,79.0,105.5,82.0,marcus morris
