position,height_w_shoes,height_wo_shoes,player_name,body_fat_pct,hand_length,hand_width,standing_reach,weight_lbs,wingspan,height_w_shoes_inches,height_wo_shoes_inches
SG,6' 6.75'',6' 5.25'',PJ Dozier,6.1,8.5,9.5,101.0,200.6,83.0,78.75,77.25
PG,5' 11.5'',5' 10.75'',Jawun Evans,9.1,8.0,7.75,95.0,185.2,77.5,71.5,70.75
SG-SF,6' 7'',6' 5.5'',Terrance Ferguson,5.8,8.5,10.0,103.0,184.4,80.75,79.0,77.5
PG,6' 3.25'',6' 2'',De?Aaron Fox,4.5,8.5,8.5,100.0,169.6,78.5,75.25,74.0
PG,,,Markelle Fultz,,,,,,,,
PF,6' 10.5'',6' 9.25'',Harry Giles,5.2,9.5,10.75,109.5,232.0,87.25,82.5,81.25
SG-SF,6' 5'',6' 3.75'',Josh Hart,5.8,8.5,9.5,101.0,209.2,80.25,77.0,75.75
PF,6' 7.5'',6' 6.25'',Nigel Hayes,11.5,8.75,10.0,104.5,254.2,87.25,79.5,78.25
PF,6' 8.5'',6' 7.25'',Isaiah Hicks,7.7,8.75,9.75,105.0,233.4,84.5,80.5,79.25
SG-SF,6' 6.75'',6' 5.5'',Wesley Iwundu,4.0,8.75,9.5,105.5,193.4,85.0,78.75,77.5
PG,6' 3.5'',6' 2'',Frank Jackson,6.7,8.25,9.0,98.0,201.6,79.5,75.5,74.0
SF,6' 7'',6' 5.75'',Justin Jackson (UMD),7.1,9.0,9.5,107.0,219.4,87.25,79.0,77.75
SF,6' 8.25'',6' 7'',Justin Jackson (UNC),8.1,8.75,9.25,104.5,200.8,83.0,80.25,79.0
SG-SF,6' 5.75'',6' 4.25'',Peter Jok,11.0,8.25,9.5,102.0,202.4,80.0,77.75,76.25
SG-SF,6' 5.5'',6' 4.5'',Luke Kennard,6.6,8.0,8.75,98.5,196.2,77.25,77.5,76.5
SF-SG,6' 9.5'',6' 8'',Kyle Kuzma,9.4,8.5,9.5,107.5,222.6,84.25,81.5,80.0
PF,6' 9.75'',6' 8.75'',TJ Leaf,6.8,8.5,9.5,107.0,222.2,83.0,81.75,80.75
PF,6' 9.5'',6' 8.25'',Tyler Lydon,13.6,8.75,8.75,107.5,215.0,84.0,81.5,80.25
PG,6' 0'',5' 11'',Frank Mason III,4.3,8.0,9.25,94.0,188.8,75.25,72.0,71.0
C,6' 10.25'',6' 8.75'',Kennedy Meeks,11.5,8.75,8.75,106.0,276.6,85.0,82.25,80.75
SG,6' 3'',6' 1.25'',Donovan Mitchell,5.9,8.5,9.5,97.0,211.4,82.0,75.0,73.25
PG,6' 2.5'',6' 1.25'',Monte Morris,6.9,8.25,8.75,96.5,175.2,76.0,74.5,73.25
PF,6' 8.75'',6' 7.75'',Johnathan Motley,,9.0,9.5,108.0,238.2,88.0,80.75,79.75
SG-SF,6' 7.5'',6' 6.5'',Svi Mykhailiuk,11.4,8.0,9.25,100.0,219.6,77.0,79.5,78.5
SF-SG,6' 6.75'',6' 5.25'',Semi Ojeleye,5.5,8.75,9.5,102.0,241.4,81.75,78.75,77.25
PF,6' 8.25'',6' 7'',Cameron Oliver,7.7,9.5,10.25,106.5,238.6,85.25,80.25,79.0
C,6' 11.25'',6' 10'',Justin Patton,7.8,8.75,9.75,111.5,229.0,87.0,83.25,82.0
PF,6' 8.75'',6' 7.25'',Alec Peters,8.8,8.75,10.0,105.0,232.0,82.75,80.75,79.25
PF,6' 10'',6' 8.75'',Ivan Rabb,6.8,8.75,9.0,109.0,219.6,85.5,82.0,80.75
SG-SF,6' 5.5'',6' 4.5'',Davon Reed,6.5,9.25,9.5,102.0,206.2,84.0,77.5,76.5
SF,6' 8.25'',6' 7'',Devin Robinson,3.2,9.25,10.25,106.0,189.6,84.75,80.25,79.0
PG,6' 4.5'',6' 3.25'',Kobi Simmons,5.0,8.5,9.5,99.0,166.2,78.0,76.5,75.25
PG,6' 5.75'',6' 4'',Edmond Sumner,8.3,8.25,9.0,102.5,176.4,81.0,77.75,76.0
PF,6' 8.5'',6' 7.5'',Caleb Swanigan,,9.5,10.25,108.0,245.6,87.0,80.5,79.5
SG-SF,6' 4.75'',6' 3.5'',Sindarius Thornwell,7.8,8.75,8.75,103.0,211.6,82.0,76.75,75.5
PG,6' 2.5'',6' 1.25'',Melo Trimble,10.6,8.0,8.75,95.5,195.2,74.0,74.5,73.25
PF,6' 11.25'',6' 10'',Moritz Wagner,6.7,8.75,10.75,108.0,231.2,84.0,83.25,82.0
PG,6' 0.75'',5' 11'',Derrick Walton Jr.,5.8,8.0,8.5,95.0,188.6,74.5,72.75,71.0
PF-C,7' 0.5'',6' 11.5'',Thomas Welsh,10.9,9.0,10.5,109.5,254.0,84.0,84.5,83.5
PG,6' 4.5'',6' 3.25'',Derrick White,6.2,8.25,8.5,101.5,189.8,79.5,76.5,75.25
PG,6' 3'',6' 1.5'',Nigel Williams-Goss,5.6,8.75,9.25,99.0,190.2,79.25,75.0,73.5
PF,6' 10.5'',6' 8.75'',D.J. Wilson,6.4,9.25,10.25,109.5,234.4,87.0,82.5,80.75
C,6' 11.75'',6' 10.5'',Omer Yurtseven,7.6,9.0,10.5,108.5,248.4,85.0,83.75,82.5
SG,6' 4.25'',6' 3.25'',Ron Baker,7.85,8.75,9.5,97.5,212.4,81.75,76.25,75.25
PG,6' 4'',6' 2.5'',Wade Baldwin IV,5.2,9.0,9.75,100.0,201.8,83.25,76.0,74.5
PG,6' 2.75'',6' 1.5'',Cat Barber,4.5,8.0,8.5,95.5,173.0,77.5,74.75,73.5
SG,6' 4.5'',6' 3.5'',Malik Beasley,6.9,8.5,9.0,100.5,189.8,79.0,76.5,75.5
SG-SF,6' 5.75'',6' 4.25'',DeAndre Bembry,7.0,8.0,9.25,101.0,206.6,81.25,77.75,76.25
PF,6' 8.25'',6' 7.25'',Ben Bentil,9.7,9.5,10.0,105.0,229.2,85.5,80.25,79.25
SF,6' 7.25'',6' 6.25'',Jaron Blossomgame,5.25,8.5,10.0,102.0,213.6,82.0,79.25,78.25
PF,6' 9'',6' 7.5'',Joel Bolomboy,5.15,9.0,10.25,103.5,224.4,85.75,81.0,79.5
SG,6' 5.5'',6' 3.75'',Malcolm Brogdon,5.4,9.0,10.25,98.0,223.0,82.5,77.5,75.75
SG-SF,6' 6.75'',6' 5.25'',Jaylen Brown,5.05,8.75,9.0,102.5,222.8,83.75,78.75,77.25
PF,6' 10'',6' 8.75'',Marquese Chriss,8.5,9.0,9.0,105.0,233.0,84.25,82.0,80.75
SF,6' 6.25'',6' 5'',Elgin Cook,6.35,8.5,10.25,100.5,209.8,82.0,78.25,77.0
PG,6' 4.5'',6' 3.25'',Isaiah Cousins,4.8,8.25,8.75,98.5,194.0,78.25,76.5,75.25
PF,6' 10.5'',6' 9.25'',Deyonta Davis,9.7,9.0,9.25,108.5,237.2,86.5,82.5,81.25
PF,6' 9'',6' 7.5'',Cheick Diallo,5.6,8.5,9.75,107.5,218.6,88.5,81.0,79.5
PG,6' 4.25'',6' 3'',Kris Dunn,,,,100.0,,81.5,76.25,75.0
PF,6' 11.5'',6' 10'',Henry Ellenson,11.2,8.5,9.75,108.0,242.0,86.25,83.5,82.0
PF,6' 8.25'',6' 7'',Perry Ellis,4.6,8.0,8.5,102.0,217.8,82.25,80.25,79.0
PG,5' 9.5'',5' 8.25'',Kay Felder,5.8,8.25,8.5,88.5,177.2,74.5,69.5,68.25
SF,6' 7.75'',6' 6.5'',Dorian Finney-Smith,6.45,9.0,9.75,105.5,212.6,83.75,79.75,78.5
SG,6' 6.75'',6' 5.5'',Michael Gbinije,5.4,8.0,9.0,101.0,204.6,79.5,78.75,77.5
SG-SF,6' 8'',6' 6.25'',Daniel Hamilton,5.95,9.0,8.5,103.5,197.0,81.0,80.0,78.25
SG,6' 5.5'',6' 4'',Josh Hart,5.75,8.5,9.25,99.5,203.6,80.5,77.5,76.0
SF-PF,6' 7.25'',6' 6.25'',Nigel Hayes,10.9,8.5,9.5,107.5,245.0,87.0,79.25,78.25
SG,6' 5'',6' 3.75'',Buddy Hield,6.1,8.5,9.0,101.0,212.4,81.25,77.0,75.75
SF,6' 8.25'',6' 7'',Justin Jackson,7.6,8.75,8.75,103.5,193.4,82.75,80.25,79.0
PG,6' 1.25'',6' 0'',Demetrius Jackson,6.5,8.25,9.0,93.0,193.8,77.5,73.25,72.0
PF,6' 10.5'',6' 9'',Brice Johnson,7.5,9.0,8.25,106.5,208.6,84.5,82.5,81.0
C,6' 11.5'',6' 10.25'',Damian Jones,6.55,8.75,10.5,107.0,243.6,87.75,83.5,82.25
PF-C,6' 11.75'',6' 10.5'',Skal Labissiere,5.7,8.75,9.0,105.5,215.8,86.5,83.75,82.5
SF,6' 9.25'',6' 8'',Jake Layman,7.1,8.25,9.25,102.0,208.6,81.25,81.25,80.0
SG,6' 7'',6' 5.75'',Caris LeVert,7.55,8.5,9.25,101.0,191.0,82.0,79.0,77.75
PF-C,6' 10.25'',6' 9'',Marcus Lee,5.35,9.0,9.0,107.5,211.0,87.0,82.25,81.0
PF,7' 0.75'',6' 11.75'',Thon Maker,6.05,8.75,9.5,110.5,216.0,87.0,84.75,83.75
PG-SG,6' 6.75'',6' 5.25'',Patrick McCaw,4.7,8.75,8.75,100.5,180.8,82.0,78.75,77.25
SG,6' 3.5'',6' 2.25'',Malik Newman,5.6,8.25,9.25,97.5,182.2,77.75,75.5,74.25
PF,6' 8.5'',6' 6.75'',Georges Niang,10.05,9.25,9.25,103.0,230.8,82.0,80.5,78.75
C,6' 10'',6' 9'',Chinanu Onuaku,8.55,9.0,8.0,108.5,245.2,86.75,82.0,81.0
PG,6' 1.75'',6' 0.5'',Marcus Paige,4.3,7.75,8.75,97.0,163.8,78.25,73.75,72.5
PG,6' 3'',6' 2'',Gary Payton II,3.95,8.75,9.5,99.5,183.8,80.0,75.0,74.0
C,7' 1'',7' 0.25'',Jakob Poeltl,5.8,9.25,10.25,111.5,239.0,86.75,85.0,84.25
SF,6' 7.75'',6' 6.5'',Taurean Prince,6.45,9.0,8.5,102.0,220.2,83.5,79.75,78.5
PF-C,7' 2.25'',7' 1.25'',Zhou Qi,4.85,9.25,9.5,112.5,218.2,91.75,86.25,85.25
SG-SF,6' 6.25'',6' 4.75'',Malachi Richardson,7.0,8.75,10.0,101.5,199.6,84.0,78.25,76.75
SG,6' 5.75'',6' 4.25'',Wayne Selden,7.3,9.0,9.25,101.0,232.4,82.5,77.75,76.25
PF,6' 9.5'',6' 8.25'',Pascal Siakam,5.2,9.25,10.0,107.5,226.6,87.25,81.5,80.25
C,6' 10.25'',6' 9'',Diamond Stone,12.85,8.5,7.75,108.5,254.4,86.75,82.25,81.0
PF,6' 8.5'',6' 7.5'',Caleb Swanigan,12.55,9.0,10.25,107.0,246.6,87.5,80.5,79.5
PG,6' 2.5'',6' 1.25'',Melo Trimble,8.35,8.0,8.75,92.5,191.8,74.0,74.5,73.25
PG,5' 10'',5' 8.75'',Tyler Ulis,5.2,7.5,7.5,88.5,149.2,74.0,70.0,68.75
PF,6' 9.75'',6' 8.5'',Jarrod Uthoff,6.0,8.75,9.0,104.0,214.4,83.5,81.75,80.5
SG-SF,6' 5.75'',6' 4'',Denzel Valentine,9.2,8.5,9.75,102.0,210.4,82.75,77.75,76.0
PG-SG,6' 4.5'',6' 3.25'',Isaiah Whitehead,9.25,8.5,8.75,100.0,210.0,80.75,76.5,75.25
SF,6' 6.75'',6' 5.75'',Troy Williams,10.0,8.25,9.25,102.0,217.8,80.25,78.75,77.75
PF,6' 10'',6' 8.75'',Kyle Wiltjer,15.25,8.25,9.5,102.5,242.8,84.25,82.0,80.75
C,6' 11.75'',6' 10.25'',Stephen Zimmerman,11.15,9.0,9.0,108.5,234.0,87.25,83.75,82.25
PF-C,6' 8.5'',6' 7.25'',Cliff Alexander,5.8,9.5,10.25,109.5,239.2,87.5,80.5,79.25
SF-SG,6' 6.25'',6' 5.25'',Justin Anderson,5.0,8.5,9.5,101.0,230.6,83.75,78.25,77.25
PF,6' 8.5'',6' 7.25'',Brandon Ashley,8.8,9.0,9.5,105.0,228.0,87.75,80.5,79.25
PG,5' 11'',5' 10'',Ryan Boatright,6.6,7.5,8.75,92.5,169.6,72.5,71.0,70.0
SG,6' 5.75'',6' 4.5'',Devin Booker,8.3,8.75,9.0,102.5,205.8,80.25,77.75,76.5
SF-SG,6' 7.25'',6' 5.75'',Anthony Brown,6.1,8.5,9.0,104.5,211.0,83.0,79.25,77.75
C,7' 0.5'',6' 11.25'',Willie Cauley-Stein,6.3,9.5,9.0,111.0,242.4,87.0,84.5,83.25
PF-C,6' 9.75'',6' 8.25'',Rakeem Christmas,9.6,9.25,9.0,110.5,242.6,89.25,81.75,80.25
SG,6' 5.25'',6' 4'',Pat Connaughton,10.2,8.5,9.25,96.0,215.0,80.0,77.25,76.0
PG,6' 2'',6' 0.25'',Quinn Cook,6.7,7.5,8.75,96.5,179.0,76.0,74.0,72.25
PF,6' 6.75'',6' 5.5'',Branden Dawson,5.8,9.0,8.75,105.0,230.2,83.0,78.75,77.5
SF,6' 9'',6' 7.75'',Sam Dekker,7.5,8.5,9.25,106.0,218.6,83.5,81.0,79.75
SG,6' 4.25'',6' 3.75'',Michael Frazier II,7.4,8.25,9.25,101.5,199.4,80.0,76.25,75.75
SF,6' 5.75'',6' 4'',Treveon Graham,5.5,8.5,8.25,103.0,219.4,82.5,77.75,76.0
PG,6' 4.25'',6' 3.25'',Jerian Grant,5.6,8.25,8.5,100.0,198.0,79.5,76.25,75.25
PG-SG,6' 4.25'',6' 3.25'',Olivier Hanlan,4.3,8.0,8.75,100.0,185.8,78.0,76.25,75.25
PF,6' 7.5'',6' 7'',Montrezl Harrell,11.9,9.0,9.75,109.0,253.4,88.25,79.5,79.0
PG,6' 5.5'',6' 4.5'',Andrew Harrison,5.9,8.25,9.25,100.0,213.2,81.0,77.5,76.5
SG,6' 6'',6' 4.5'',Aaron Harrison,6.0,8.75,10.0,100.5,209.2,80.25,78.0,76.5
SG,6' 4'',6' 2.75'',Tyler Harvey,9.2,7.75,8.75,98.5,181.4,77.5,76.0,74.75
SG-PG,6' 1.75'',6' 0.75'',Corey Hawkins,5.5,8.75,9.0,99.5,191.8,80.0,73.75,72.75
SF,6' 7'',6' 5.5'',Rondae Hollis-Jefferson,5.0,8.75,9.75,104.0,210.8,86.0,79.0,77.5
PF,6' 9.5'',6' 8.25'',Richaun Holmes,8.8,8.5,8.5,108.0,242.8,85.5,81.5,80.25
PF-SF,6' 9.25'',6' 8.25'',Jonathan Holmes,7.2,8.25,9.5,107.5,242.2,83.5,81.25,80.25
SG,6' 6'',6' 4.5'',R.J. Hunter,6.0,8.5,8.25,104.0,185.0,82.5,78.0,76.5
PF,6' 7.5'',6' 6.75'',Vince Hunter,4.6,9.0,8.75,104.5,208.4,83.0,79.5,78.75
C,6' 11.75'',6' 11'',Dakari Johnson,14.9,9.25,10.5,112.0,264.6,86.0,83.75,83.0
SF,6' 6.5'',6' 5'',Stanley Johnson,7.5,9.0,9.0,102.0,241.8,83.5,78.5,77.0
PG,6' 2'',6' 0.5'',Tyus Jones,6.5,8.25,8.75,97.0,184.6,77.0,74.0,72.5
C-PF,7' 0.75'',6' 11.75'',Frank Kaminsky,9.4,8.5,9.5,109.5,231.2,83.0,84.75,83.75
PF,6' 9.25'',6' 8'',Kevon Looney,11.9,9.5,9.25,110.0,222.4,87.5,81.25,80.0
PF,6' 10.25'',6' 9'',Trey Lyles,12.1,9.25,10.25,108.0,241.2,85.5,82.25,81.0
PF,6' 9.25'',6' 8'',Jarell Martin,10.1,8.25,9.5,106.5,238.6,81.0,81.25,80.0
PG,6' 2'',6' 0.5'',TJ McConnell,7.3,7.5,7.0,96.5,187.8,74.0,74.0,72.5
PF,6' 9'',6' 8.25'',Chris McCullough,6.2,8.75,8.75,109.0,199.0,87.25,81.0,80.25
PF,6' 8.25'',6' 7'',Jordan Mickey,7.2,8.75,9.5,106.0,238.0,87.25,80.25,79.0
PF,6' 8.5'',6' 7.5'',Larry Nance,6.4,9.0,9.75,108.0,226.6,85.5,80.5,79.5
SF-SG,6' 6.75'',6' 5.75'',Kelly Oubre,5.7,9.0,8.75,102.5,202.8,86.25,78.75,77.75
PG,6' 1.5'',6' 0.75'',Cameron Payne,6.3,8.5,8.25,97.5,182.8,79.25,73.5,72.75
SG,6' 6'',6' 4.75'',Terran Petteway,4.9,8.25,8.25,104.5,209.2,83.25,78.0,76.75
PF,6' 10.5'',6' 9.5'',Bobby Portis,8.9,9.5,9.25,108.5,246.2,86.0,82.5,81.5
SG,6' 4.25'',6' 3'',Norman Powell,6.4,9.25,9.0,102.5,215.4,82.75,76.25,75.0
SG-SF,6' 5'',6' 4'',Michael Qualls,4.0,9.0,10.25,104.5,201.4,84.25,77.0,76.0
PG,6' 1.5'',6' 0.25'',Chasson Randle,4.5,8.5,9.5,96.5,178.8,79.0,73.5,72.25
PG-SG,6' 2.25'',6' 0.5'',Terry Rozier,5.6,8.25,8.5,98.5,190.2,80.25,74.25,72.5
PG-SG,6' 5'',6' 3.25'',D?Angelo Russell,8.3,8.75,9.75,102.0,193.4,81.75,77.0,75.25
PG,5' 11.75'',5' 10.5'',Keifer Sykes,5.0,8.5,9.5,93.0,167.2,74.0,71.75,70.5
PG-SG,6' 2.75'',6' 1.75'',Marcus Thornton,5.3,8.25,8.5,97.5,177.4,79.75,74.75,73.75
SF-SG,6' 6.25'',6' 5.25'',J.P. Tokoto,4.1,8.0,8.75,100.5,195.8,82.0,78.25,77.25
C-PF,6' 11.5'',6' 9.75'',Myles Turner,9.3,9.25,9.25,112.0,238.6,88.0,83.5,81.75
C,7' 0'',6' 10.75'',Robert Upshaw,12.5,10.0,11.0,113.0,258.2,89.5,84.0,82.75
SG,6' 5'',6' 3.75'',Rashad Vaughn,6.2,8.0,8.5,101.0,198.6,79.0,77.0,75.75
PF,6' 9.25'',6' 8.75'',Chris Walker,5.1,9.0,9.0,108.0,208.0,86.75,81.25,80.75
SG,6' 4'',6' 3'',Dez Wells,8.1,8.75,9.75,100.5,208.8,81.5,76.0,75.0
PF,6' 8.25'',6' 7.25'',Alan Williams,12.0,8.5,9.5,106.5,261.4,85.75,80.25,79.25
SF,6' 6.5'',6' 4.5'',Justise Winslow,5.3,8.5,9.25,104.5,221.8,82.25,78.5,76.5
PF,6' 10.5'',6' 9.25'',Christian Wood,14.7,9.25,10.75,111.5,216.0,87.25,82.5,81.25
PG,6' 5.5'',6' 4.25'',Delon Wright,6.6,8.0,8.5,101.5,181.4,79.5,77.5,76.25
SG,6' 4.75'',6' 3.5'',Jordan Adams,10.8,8.5,7.5,102.0,208.8,82.0,76.75,75.5
SF,6' 8.5'',6' 7.5'',Kyle Anderson,13.35,8.25,8.75,107.5,230.1,86.75,80.5,79.5
SF,6' 6.25'',6' 5.25'',Thanasis Antetokounmpo,6.05,9.0,9.75,104.5,205.2,84.0,78.25,77.25
PF,7' 2'',7' 1.25'',Jordan Bachynski,7.45,9.25,10.0,108.5,254.1,88.0,86.0,85.25
PF,6' 9.75'',6' 8.75'',Cameron Bairstow,8.7,8.75,9.0,107.0,252.4,84.75,81.75,80.75
PF,6' 9.25'',6' 7.5'',Khem Birch,6.0,9.0,8.5,107.0,208.8,85.0,81.25,79.5
PF,7' 1.25'',7' 0.25'',Alec Brown,7.7,9.25,8.75,109.0,231.2,85.5,85.25,84.25
SG,6' 3.5'',6' 2.5'',Markel Brown,4.2,8.25,9.75,100.0,184.4,80.75,75.5,74.5
SG,6' 4.25'',6' 3'',Jabari Brown,6.05,9.0,9.25,100.0,201.9,80.25,76.25,75.0
PG,6' 1.25'',6' 0'',Deonte Burton,7.65,8.25,8.0,97.5,192.8,79.0,73.25,72.0
PG,6' 3.25'',6' 1.5'',Semaj Christon,5.25,8.5,8.25,99.0,186.0,78.5,75.25,73.5
PG,6' 5'',6' 3.25'',Jordan Clarkson,4.3,8.25,9.0,98.0,186.3,80.0,77.0,75.25
PG,6' 1.75'',6' 0.75'',Aaron Craft,6.1,7.75,8.5,94.5,191.6,74.0,73.75,72.75
SF,6' 8.5'',6' 7.25'',DeAndre Daniels,3.85,9.25,10.5,106.5,196.0,86.0,80.5,79.25
PG,6' 6'',6' 4.5'',Spencer Dinwiddie,5.35,8.25,9.0,103.0,204.9,80.25,78.0,76.5
SF,6' 7.25'',6' 6'',Cleanthony Early,4.45,8.5,9.0,101.5,209.4,82.75,79.25,78.0
SF,6' 7'',6' 5.25'',Melvin Ejim,6.45,8.75,9.25,103.5,218.5,83.25,79.0,77.25
PG,6' 2.5'',6' 1'',Tyler Ennis,6.2,8.25,8.75,98.0,181.5,79.25,74.5,73.0
SG,6' 6'',6' 4.5'',Dante Exum,6.4,8.5,9.5,103.0,196.3,81.5,78.0,76.5
SF,6' 8'',6' 6.5'',C.J. Fair,5.05,9.0,9.0,104.0,218.1,81.5,80.0,78.5
PF,6' 8.75'',6' 7.5'',Aaron Gordon,5.05,8.75,10.5,105.0,220.1,83.75,80.75,79.5
SF,6' 7.75'',6' 6.5'',Jerami Grant,3.75,9.25,9.25,107.0,214.0,86.75,79.75,78.5
SG,6' 5.25'',6' 4.25'',P.J. Hairston,8.2,8.75,9.75,101.0,228.8,81.0,77.25,76.25
SG,6' 4.5'',6' 2.5'',Gary Harris,4.55,8.5,9.5,96.0,204.8,78.75,76.5,74.5
SG,6' 6.25'',6' 4.75'',Joe Harris,6.2,8.5,9.75,100.0,215.0,78.0,78.25,76.75
SF,6' 8.5'',6' 7.25'',Rodney Hood,7.45,8.5,8.5,103.0,208.2,80.5,80.5,79.25
PF,6' 9'',6' 7.75'',Cory Jefferson,5.25,8.75,9.75,105.0,218.4,84.5,81.0,79.75
SG,6' 3'',6' 1.5'',Nick Johnson,6.05,8.75,9.75,96.5,198.0,79.25,75.0,73.5
SG,6' 4.25'',6' 2.5'',Sean Kilpatrick,9.2,9.0,9.0,99.0,218.7,79.0,76.25,74.5
PF,6' 10.75'',6' 9.25'',Alex Kirk,13.6,9.25,10.5,109.5,252.0,87.5,82.75,81.25
PG,6' 5.75'',6' 4.5'',Zach LaVine,4.7,8.25,8.75,100.0,180.9,80.25,77.75,76.5
SG,6' 6.5'',6' 5'',Devyn Marble,6.9,8.25,8.5,102.0,192.4,81.0,78.5,77.0
PF,6' 8.75'',6' 7.5'',James McAdoo,6.15,9.25,9.0,106.5,227.6,86.25,80.75,79.5
SF,6' 6'',6' 4.5'',K.J. McDaniels,4.45,8.75,9.75,102.0,195.6,83.25,78.0,76.5
SF,6' 7.75'',6' 6.25'',Doug McDermott,7.1,8.75,9.75,103.0,218.0,81.25,79.75,78.25
SG,6' 5.25'',6' 3.75'',Jordan McRae,5.2,8.75,8.5,104.0,179.4,84.5,77.25,75.75
PG,6' 1'',5' 11'',Shabazz Napier,7.35,8.25,8.5,93.0,175.2,75.25,73.0,71.0
PF,6' 8.5'',6' 7.25'',Johnny O?Bryant III,10.75,9.25,9.5,105.0,256.8,86.25,80.5,79.25
SG,6' 5.25'',6' 4'',Lamar Patterson,10.75,9.0,9.25,101.0,226.0,83.0,77.25,76.0
PF,6' 9.75'',6' 9'',Adreian Payne,7.55,9.25,9.5,109.0,238.5,88.0,81.75,81.0
PG,6' 3.75'',6' 2.5'',Elfrid Payton,5.65,8.75,9.0,98.5,185.4,80.0,75.75,74.5
PF,6' 11'',6' 9.5'',Dwight Powell,6.2,9.0,9.25,105.0,234.4,84.5,83.0,81.5
PF,6' 9'',6' 7.75'',Julius Randle,9.4,8.75,8.25,105.5,249.7,84.0,81.0,79.75
SF,6' 6.75'',6' 5.5'',Glenn Robinson III,5.05,9.0,9.5,100.5,211.4,82.0,78.75,77.5
SF,6' 7.5'',6' 6.5'',LaQuinton Ross,16.3,8.75,9.75,106.0,238.7,85.75,79.5,78.5
PG,6' 3.25'',6' 2'',Marcus Smart,10.55,9.0,8.75,99.0,227.2,81.25,75.25,74.0
PG,6' 0.75'',5' 11.5'',Russ Smith,3.5,8.25,8.5,95.0,160.0,75.5,72.75,71.5
SG,6' 6.5'',6' 5.25'',Nik Stauskas,12.05,8.5,8.5,102.0,206.9,79.75,78.5,77.25
PF,6' 8.5'',6' 7'',Jarnell Stokes,8.2,9.75,10.5,103.5,262.8,85.25,80.5,79.0
PG,6' 3.5'',6' 2.25'',Xavier Thames,6.4,8.25,9.0,96.0,187.0,76.0,75.5,74.25
PF,6' 9.5'',6' 8'',Noah Vonleh,7.3,9.75,11.75,108.0,247.1,88.25,81.5,80.0
SF,6' 8.25'',6' 7'',T.J. Warren,7.95,8.75,9.0,104.0,220.2,82.25,80.25,79.0
SG,6' 5'',6' 3.5'',C.J. Wilcox,6.5,8.75,9.0,100.5,201.0,81.75,77.0,75.5
PG,6' 3.75'',6' 2.25'',Kendall Williams,7.2,8.0,7.75,99.0,183.0,77.5,75.75,74.25
PF,6' 10'',6' 8.5'',Patric Young,5.45,9.25,9.5,103.5,246.8,85.75,82.0,80.5
SG,6' 6.75'',6' 5.25'',James Young,5.1,9.0,9.5,104.0,213.3,84.0,78.75,77.25
C,7' 0'',6' 10.75'',Steven Adams,6.65,9.5,11.0,109.5,254.5,88.5,84.0,82.75
SG,6' 5.25'',6' 3.5'',Vander Blue,4.6,8.5,9.5,100.5,197.4,78.0,77.25,75.5
PG,6' 5.25'',6' 4'',Lorenzo Brown,3.95,8.25,8.5,100.0,189.2,79.0,77.25,76.0
SG-SF,6' 7'',6' 5.75'',Reggie Bullock,6.95,8.5,9.0,102.0,199.8,80.75,79.0,77.75
PG,6' 1.25'',5' 11.75'',Trey Burke,6.9,8.25,8.75,97.5,187.0,77.5,73.25,71.75
SG,6' 5.5'',6' 4.5'',Kentavious Caldwell-Pope,6.45,8.5,9.0,100.5,203.6,80.0,77.5,76.5
PG,6' 0'',5' 11'',Isaiah Canaan,5.9,8.25,9.5,94.5,188.4,76.5,72.0,71.0
PF,6' 9'',6' 7.5'',Jackie Carmichael,5.8,9.0,10.25,107.0,241.2,85.5,81.0,79.5
PG,6' 5.75'',6' 4.75'',Michael Carter-Williams,4.4,7.5,8.5,101.0,184.4,79.25,77.75,76.75
SF-SG,6' 7'',6' 5.75'',Will Clyburn,6.85,9.25,10.25,105.0,210.4,84.25,79.0,77.75
SF-PF,6' 7.5'',6' 6.25'',Robert Covington,4.7,9.0,8.5,106.0,208.6,85.75,79.5,78.25
SG,6' 6.25'',6' 5.25'',Allen Crabbe,4.65,8.25,8.5,103.5,197.4,83.25,78.25,77.25
SG,6' 3'',6' 1'',Seth Curry,9.6,8.0,8.25,97.5,179.2,76.0,75.0,73.0
PF,6' 10.25'',6' 8.5'',Brandon Davies,8.6,9.0,11.0,108.5,241.8,85.5,82.25,80.5
C,6' 11.5'',6' 10'',Dewayne Dedmon,8.35,9.0,11.0,109.0,238.8,88.0,83.5,82.0
C,6' 10.75'',6' 9.75'',Gorgui Dieng,5.35,9.0,10.0,111.5,229.6,87.5,82.75,81.75
SF,6' 7'',6' 5.75'',James Ennis,4.5,8.5,8.75,104.5,200.8,83.5,79.0,77.75
SF-SG,6' 6.25'',6' 4.75'',Carrick Felix,3.3,8.5,9.5,103.5,202.6,81.25,78.25,76.75
SG-SF,6' 5.25'',6' 4'',Jamaal Franklin,8.25,8.5,8.25,103.5,190.8,83.25,77.25,76.0
C,7' 2'',7' 0.5'',Rudy Gobert,4.4,9.75,10.0,115.0,237.6,92.5,86.0,84.5
SG,6' 5.25'',6' 3.75'',Archie Goodwin,4.55,8.5,9.0,102.0,189.0,81.5,77.25,75.75
PG,6' 3'',6' 1.5'',Erick Green,4.35,8.5,9.0,98.0,178.2,77.75,75.0,73.5
